,train_acc_0,train_acc_1,train_precision_0,train_precision_1,train_reccall_0,train_recall_1,train_fscore_0,train_fscore_1,train_mean_acc,train_mean_fscore,train_loss,train_true_negative,train_false_positive,train_false_negative,train_true_positive,val_acc_0,val_acc_1,val_precision_0,val_precision_1,val_reccall_0,val_recall_1,val_fscore_0,val_fscore_1,val_mean_acc,val_mean_fscore,val_loss,val_true_negative,val_false_positive,val_false_negative,val_true_positive
0,0.5058823529411764,0.5647058823529412,0.5486548582136817,0.5315284634761962,0.5058823529411764,0.5647058823529412,0.49914686930384555,0.5274306133182022,0.5352941176470588,0.5132887413110239,0.6919188405953202,258.0,252.0,222.0,288.0,0.2608695652173913,0.3333333333333333,0.42857142857142855,0.19047619047619047,0.2608695652173913,0.3333333333333333,0.3243243243243243,0.24242424242424246,0.2971014492753623,0.2833742833742834,7.5089616775512695,6.0,17.0,8.0,4.0
1,0.6100000000000001,0.5519999999999998,0.5948473193473194,0.5849655312008254,0.6100000000000001,0.5519999999999998,0.5873721562250437,0.5574978654559621,0.581,0.572435010840503,0.666653060913086,305.0,195.0,224.0,276.0,0.8260869565217391,0.25,0.6785714285714286,0.42857142857142855,0.8260869565217391,0.25,0.7450980392156864,0.3157894736842105,0.5380434782608696,0.5304437564499485,9.386378288269043,19.0,4.0,9.0,3.0
2,0.5490196078431373,0.6352941176470589,0.6351709837003957,0.5808641233814247,0.5490196078431373,0.6352941176470589,0.5689292419127012,0.5950318736916833,0.5921568627450982,0.5819805578021923,0.6565120921415442,280.0,230.0,186.0,324.0,0.391304347826087,0.3333333333333333,0.5294117647058824,0.2222222222222222,0.391304347826087,0.3333333333333333,0.45,0.26666666666666666,0.36231884057971014,0.35833333333333334,6.990361213684082,9.0,14.0,8.0,4.0
3,0.5499999999999998,0.6659999999999999,0.6277153402153406,0.6138727269462568,0.5499999999999998,0.6659999999999999,0.5681418249822745,0.6259662585461484,0.6079999999999999,0.5970540417642114,0.6342942428588867,275.0,225.0,167.0,333.0,1.0,0.08333333333333333,0.6764705882352942,1.0,1.0,0.08333333333333333,0.8070175438596492,0.15384615384615385,0.5416666666666666,0.4804318488529015,3.6056885719299316,23.0,0.0,11.0,1.0
4,0.6060000000000002,0.638,0.6702976827094475,0.6166081402257876,0.6060000000000002,0.638,0.6051715094465667,0.6025407552239965,0.6220000000000001,0.6038561323352816,0.6189178466796875,303.0,197.0,181.0,319.0,0.34782608695652173,0.5833333333333334,0.6153846153846154,0.3181818181818182,0.34782608695652173,0.5833333333333334,0.4444444444444444,0.4117647058823529,0.46557971014492755,0.42810457516339867,4.07602071762085,8.0,15.0,5.0,7.0
5,0.6627450980392157,0.6176470588235294,0.6492205330873153,0.6543344167046591,0.6627450980392157,0.6176470588235294,0.6398800279422852,0.6211684847212815,0.6401960784313725,0.6305242563317833,0.5969859478520412,338.0,172.0,195.0,315.0,0.5217391304347826,0.5833333333333334,0.7058823529411765,0.3888888888888889,0.5217391304347826,0.5833333333333334,0.6,0.4666666666666666,0.552536231884058,0.5333333333333333,4.020317077636719,12.0,11.0,5.0,7.0
6,0.6739999999999999,0.618,0.6599191174322755,0.6744155844155845,0.6739999999999999,0.618,0.6495216194783937,0.621230500150005,0.6459999999999999,0.6353760598141993,0.5759451293945312,337.0,163.0,191.0,309.0,0.43478260869565216,0.5833333333333334,0.6666666666666666,0.35,0.43478260869565216,0.5833333333333334,0.5263157894736841,0.4375,0.5090579710144928,0.48190789473684204,6.629849910736084,10.0,13.0,5.0,7.0
7,0.6647058823529413,0.6725490196078432,0.6864187283304932,0.6789493730670201,0.6647058823529413,0.6725490196078432,0.6605716411131201,0.6618674247312811,0.6686274509803922,0.6612195329222006,0.5853796566233915,339.0,171.0,167.0,343.0,0.6086956521739131,0.4166666666666667,0.6666666666666666,0.35714285714285715,0.6086956521739131,0.4166666666666667,0.6363636363636365,0.3846153846153846,0.5126811594202899,0.5104895104895105,3.9079368114471436,14.0,9.0,7.0,5.0
8,0.6479999999999998,0.704,0.705887277754925,0.6903706293706294,0.6479999999999998,0.704,0.6555276417629224,0.6759051316521233,0.6759999999999999,0.6657163867075229,0.5544463348388672,324.0,176.0,148.0,352.0,0.5652173913043478,0.5,0.6842105263157895,0.375,0.5652173913043478,0.5,0.6190476190476191,0.42857142857142855,0.5326086956521738,0.5238095238095238,3.865239143371582,13.0,10.0,6.0,6.0
9,0.7240000000000001,0.6859999999999999,0.7115005256181729,0.7306342546342546,0.7240000000000001,0.6859999999999999,0.7055028102432059,0.6923180723914067,0.7050000000000001,0.6989104413173064,0.5391559219360351,362.0,138.0,157.0,343.0,0.8260869565217391,0.3333333333333333,0.7037037037037037,0.5,0.8260869565217391,0.3333333333333333,0.76,0.4,0.5797101449275363,0.5800000000000001,3.822827100753784,19.0,4.0,8.0,4.0
10,0.7117647058823532,0.7647058823529409,0.7712998330645392,0.7452888070535129,0.7117647058823532,0.7647058823529409,0.7244997784343985,0.74051714419799,0.7382352941176471,0.7325084613161943,0.496728822296741,363.0,147.0,120.0,390.0,0.4782608695652174,0.6666666666666666,0.7333333333333333,0.4,0.4782608695652174,0.6666666666666666,0.5789473684210527,0.5,0.572463768115942,0.5394736842105263,3.905017852783203,11.0,12.0,4.0,8.0
11,0.7080000000000001,0.7180000000000001,0.739351507969155,0.7310204240204243,0.7080000000000001,0.7180000000000001,0.7060684791430386,0.7074629731480587,0.7130000000000001,0.7067657261455487,0.49776538848876956,354.0,146.0,141.0,359.0,0.6521739130434783,0.6666666666666666,0.7894736842105263,0.5,0.6521739130434783,0.6666666666666666,0.7142857142857143,0.5714285714285715,0.6594202898550725,0.6428571428571429,9.241909980773926,15.0,8.0,4.0,8.0
12,0.6843137254901961,0.7999999999999998,0.7958927238339003,0.7308584917581459,0.6843137254901961,0.7999999999999998,0.7185246527644762,0.7532170888585203,0.742156862745098,0.7358708708114983,0.4631110172645718,349.0,161.0,102.0,408.0,0.5652173913043478,0.4166666666666667,0.65,0.3333333333333333,0.5652173913043478,0.4166666666666667,0.6046511627906976,0.3703703703703704,0.4909420289855072,0.48751076658053405,6.33469295501709,13.0,10.0,7.0,5.0
